brand,description,rating,reviews,sort,data_coleta,old,new
UNDER ARMOUR,Tênis Under Armour Charged Quicker Masculino,0.0,0,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2024-05-25 11:39:55.362729,444.33,349.9
,Tênis Masculino Olymp Olimp Space Caminhada Barato Promoção,4.2,2185,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2024-05-25 11:39:55.362729,78.9,71.01
LORENZZO LOPEZ,Kit Tênis Masculino Esportivo Academia E Corrida + Brindes,0.0,0,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2024-05-25 11:39:55.362729,129.9,116.91
OLYMPIKUS,Olympikus Voa 2 Feminino Adultos,4.9,115,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2024-05-25 11:39:55.362729,299.99,33.33
,Tenis Feminino Casual Nyc Shoes Masculino Moda Adulto,4.5,3964,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2024-05-25 11:39:55.362729,109.9,75.83
FILA,Tênis De Corrida Masculino Fila Racer Gripper Original,0.0,0,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2024-05-25 11:39:55.362729,329.99,227.43
FILA,Tênis Fila Venture Tracer Masculino Esportivo,0.0,0,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2024-05-25 11:39:55.362729,444.33,44.43
OLYMPIKUS,Olympikus Express Masculino Adultos,4.7,234,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2024-05-25 11:39:55.362729,274.99,217.79
LORENZZO LOPEZ,Tênis Masculino Para Esportes Corrida E Caminhada ,0.0,0,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2024-05-25 11:39:55.362729,69.9,6.79
PUMA,Tenis Masculino Puma Wired Run Softfoam Oftfoam - Original,0.0,0,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2024-05-25 11:39:55.362729,369.99,236.79
OLYMPIKUS,Tênis Masculino Olympikus Cyber 4 Original,0.0,0,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2024-05-25 11:39:55.362729,279.99,197.39
,Tenis Feminino Masculino Olimp Academia Leve Confortável,4.4,1049,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2024-05-25 11:39:55.362729,69.99,6.8
OLDSEN,Tênis Masculino Academia Esportivo Caminhada Academia ,4.3,142,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2024-05-25 11:39:55.362729,78.9,67.06
BOX200,Tênis Masculino Tamanho Especial Esporte Caminhada Box 200,4.5,578,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2024-05-25 11:39:55.362729,89.9,76.41
FILA,Tênis Fila Classic Runner Sl Masculino Branco,0.0,0,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2024-05-25 11:39:55.362729,289.9,32.21
FILA,Tênis Fila Racer Gripper Masculino Original,0.0,0,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2024-05-25 11:39:55.362729,329.99,232.53
FILA,Tênis Fila Masculino Recovery Esportivo Confortável Original,0.0,0,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2024-05-25 11:39:55.362729,379.99,36.84
ASCENSION,Tenis Ortopedico Masculino Corrida Caminhada Academia Treino,4.4,114,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2024-05-25 11:39:55.362729,119.67,110.76
FILA,Fila Magnus Masculino Adultos F01AT00021,4.7,506,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2024-05-25 11:39:55.362729,246.38,197.1
FILA,Tênis Fila Masculino Trend 3.0 Treino Caminhada Casual,0.0,0,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2024-05-25 11:39:55.362729,319.9,281.51
FILA,Fila KR6 Masculino Adultos,4.7,159,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2024-05-25 11:39:55.362729,599.4,359.84
FILA,Tênis Fila Racer Nairobi Corrida - Masculino,0.0,0,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2024-05-25 11:39:55.362729,379.99,334.39
ASCENSION,Tênis Esportivo Sola Macia P/ Exercícios Tecido Confortável,0.0,0,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2024-05-25 11:39:55.362729,129.9,12.63
SAPATOFRAN,Tênis Masculino Esportivo Academia Kit C/meia Lupo + Relógio,4.3,2449,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2024-05-25 11:39:55.362729,107.9,10.49
,Tenis Sport Titanium  Original - Esportivo,4.5,3436,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2024-05-25 11:39:55.362729,78.9,61.75
OLYMPIKUS,Tênis Olympikus Rayo - Masculino Casual Confortável E Leve,0.0,0,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2024-05-25 11:39:55.362729,259.99,197.59
FILA,Tênis De Caminhada Masculino Fila Ride Original,5.0,3,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2024-05-25 11:39:55.362729,329.99,227.43
FILA,Tênis Corrida Ultra Leve Fila Kr6 Maratona Performance,4.5,6,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2024-05-25 11:39:55.362729,599.99,335.99
OLYMPIKUS,Tênis Masculino Esportivo Olympikus Soma Original,0.0,0,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2024-05-25 11:39:55.362729,219.9,172.9
FILA,Tênis Masculino Fila Ride Original,5.0,1,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2024-05-25 11:39:55.362729,329.99,227.43
